"","GO.ID","Term","KS"
"1","GO:0004674","GO:0004674, protein serine/threonine kinase activity",0.001
"2","GO:0015267","GO:0015267, channel activity",0.002
"3","GO:0005488","GO:0005488, binding",0.0051
"4","GO:0015075","GO:0015075, monoatomic ion transmembrane",0.0119
"5","GO:0016651","GO:0016651, oxidoreductase activity, acting on NAD(P",0.0175
"6","GO:0005509","GO:0005509, calcium ion binding",0.0235
"7","GO:0016174","GO:0016174, NAD(P)H oxidase H2O2-forming activity",0.0252
"8","GO:0050664","GO:0050664, oxidoreductase activity, acting on NAD(P",0.0252
"9","GO:0005516","GO:0005516, calmodulin binding",0.0355
"10","GO:0003723","GO:0003723, RNA binding",0.0362
