gene_id	fst	p_value
AT1G02920	0.05135	0.006600491
AT1G03457	0.27551	0
AT1G03475	0.37451	0
AT1G04510	0.18571	1.89e-07
AT1G06680	0.0789	0.000619077
AT1G08860	0.40197	0
AT1G09090	0.18493	1.33e-07
AT1G09770	0.36296	0
AT1G10170	0.2582	0
AT1G10920	0.10744	4.7509e-05
AT1G11000	0.35095	0
AT1G11310	0.24213	0
AT1G12210	0.35532	0
AT1G12280	0.11975	1.2485e-05
AT1G12290	0.52863	0
AT1G13440	0.13122	1.0118e-05
AT1G14410	0.07127	0.000622216
AT1G14930	0.15292	1.603e-06
AT1G14940	0.1366	5.532e-06
AT1G14950	0.11297	1.313e-05
AT1G14960	0.18235	2.6e-08
AT1G17420	0.05263	0.006976964
AT1G17600	0.08533	0.000392348
AT1G17610	0.08606	0.000404126
AT1G17615	0.01526	0.222007722
AT1G17750	0.24138	0
AT1G19230	0.2665	0
AT1G19610	0.04731	0.017521108
AT1G19660	0.44498	0
AT1G20020	0.21311	1e-09
AT1G20980	0.16923	4e-08
AT1G21250	0.1498	4.62e-07
AT1G22900	0.12795	3.767e-06
AT1G23120	0.03193	0.047406187
AT1G23130	0.16884	3.11e-07
AT1G24010	0.09859	3.2198e-05
AT1G25540	0.08772	0.000110393
AT1G26630	0.12534	3.151e-06
AT1G26700	0.09898	6.7019e-05
AT1G27170	0.12093	1.6713e-05
AT1G28290	0.06269	0.002883472
AT1G28380	0.05624	0.0028912
AT1G29340	0.04257	0.021356285
AT1G30990	0.02895	0.056639393
AT1G31540	0.158	1.62e-07
AT1G32060	0.07557	0.000605941
AT1G33560	0.16716	2.45e-07
AT1G33590	0.03552	0.044373465
AT1G35260	0.10572	2.5459e-05
AT1G35310	0.14066	2.46e-06
AT1G35537	0.01446	0.234969664
AT1G42560	0.05958	0.002841249
AT1G45145	0.06338	0.001628026
AT1G45616	0.10263	2.6104e-05
AT1G47370	0.02932	0.053609045
AT1G47540	0.08156	0.000842759
AT1G47890	0.04279	0.012957318
AT1G50180	0.19285	1.32e-07
AT1G51090	0.23087	0
AT1G51480	0.16465	4.02e-07
AT1G51660	0.16105	6.68e-07
AT1G52030	0.04967	0.007937173
AT1G52040	0.07031	0.001880792
AT1G52410	0.08681	0.000698128
AT1G52660	0.0714	0.00147021
AT1G52740	0.01535	0.234121274
AT1G52900	0.05207	0.009219596
AT1G53240	0.08745	0.000315886
AT1G53350	0.09376	8.2713e-05
AT1G53940	0.02369	0.090848626
AT1G54040	0.03438	0.027323362
AT1G55010	0.02598	0.120240751
AT1G55020	0.12896	2.562e-06
AT1G56540	0.1413	5.015e-06
AT1G57670	0.10901	2.4793e-05
AT1G58170	0.15152	2.26e-07
AT1G58390	0.16314	1.53e-07
AT1G59620	0.18033	3.6e-08
AT1G61100	0.07792	0.000597243
AT1G61120	0.09744	6.4989e-05
AT1G61180	0.01544	0.216107383
AT1G61190	0.01385	0.497250589
AT1G61560	0.12263	4.909e-06
AT1G62630	0.01385	0.497250589
AT1G63730	0.17285	2.29e-07
AT1G63740	0.30229	0
AT1G63750	0.20647	5.3e-08
AT1G63880	0.0381	0.017963029
AT1G64070	0.01799	0.217765748
AT1G64160	0.06173	0.002042589
AT1G64790	0.12368	1.1142e-05
AT1G65390	0.17597	2.4e-07
AT1G65850	0.04405	0.012888277
AT1G65930	0.05624	0.0028912
AT1G66090	0.01481	0.222725688
AT1G70830	0.18774	7.2e-08
AT1G70840	0.05788	0.003665829
AT1G70850	0.04167	0.028758908
AT1G70860	0.12821	7.397e-06
AT1G70870	0.26405	0
AT1G70880	0.29688	0
AT1G70890	0.05564	0.006515499
AT1G71390	0.01635	0.233171409
AT1G71400	0.17282	2.2e-08
AT1G72260	0.19531	1.07e-07
AT1G72520	0.1914	1.3e-08
AT1G72890	0.19225	8.3e-08
AT1G72940	0.01574	0.221250971
AT1G72950	0.1847	3.1e-08
AT1G73050	0.06849	0.000718137
AT1G73260	0.03766	0.027359371
AT1G75380	0.09579	0.000131307
AT1G75830	0.0411	0.014104028
AT1G76954	0.31746	0
AT1G77470	0.0277	0.05404568
AT1G79210	0.25107	0
AT1G80600	0.59756	0
